title,authors,publisher,subject,categories,maturityRating,page_count,average_rating,ratings_count,published_date,description,publish_year,page_count_scaled,publish_year_scaled,cluster_11,cluster_12,cluster
Understanding Social Anxiety,Mark R. Leary,"SAGE Publications, Incorporated",self help,Psychology,NOT_MATURE,232,0.0,0,1983-12-01,"Shyness is a universal experience. Incorporating the many different concepts that refer to such experiences under the broader construct of 'social anxiety', Professor Leary performs the unique service of integrating the widely scattered, diverse literature dealing with the topic. He examines both basic and applied research, and presents timely recommendations for assessment, treatment and research. An important resource for researchers and practitioners; and an excellent supplemental clinical psychology text for the growing number of courses dealing specifically with integrations of clinical-counselling and social-personality psychology. It is an intriguing scientific examination of the experience of shyness. `This is a ver",1983,0.08889816360601002,0.42465753424657393,5,5,2
Motherself,Kathryn Allen Rabuzzi,Unknown,self help,Family & Relationships,NOT_MATURE,264,0.0,0,1988-01-01,"In Western cultures, the central image of the spiritual quest for selfhood is that of the mythic, male, hero. A male hero, however, represents the quest for selfhood incompletely and awkwardly for women. In this provocative work, Kathryn Rabuzzi focuses on a different image -- that of the mother. For women seeking spiritual fulfillment of self, Rabuzzi points out the way of the mother, replacing the androcentric myths of the West with gynocentric myths based on the archetypal model of the Goddess. In contrast to the selfhood for which the hero quests, ""motherself"" is the name for what women achieve when they follow the way of the mother. Rabuzzi defines that way with imagination and lucidity; her work provides an invaluable guide to all women struggling to articulate their religious experience in new terms.",1988,0.10225375626043406,0.4931506849315035,0,0,2
Emotional Rollercoaster,Claudia Hammond,HarperCollins UK,self help,Psychology,NOT_MATURE,438,0.0,0,2005-01-01,"We cannot help but be fascinated by the emotions that we see in ourselves and others. This title explores the extraordinary feelings which make us human. It takes the reader through the full emotional spectrum with a chapter each on fear, sadness, anger,happiness, disgust, hate, jealousy, love, sympathy and guilt.",2005,0.1748747913188648,0.7260273972602711,5,5,2
Building Self-esteem Through the Museum of I,Linda R. Zack,Free Spirit Publishing,self help,Education,NOT_MATURE,158,0.0,0,1995-01-01,"Students explore, reveal, and celebrate themselves in 25 open-ended activities that encourage divergent thinking and creative expression. Created by a teacher and classroom-tested.",1995,0.05801335559265443,0.5890410958904084,5,5,2
"Motivation, Language Identity and the L2 Self","Zoltán Dörnyei, Ema Ushioda",Multilingual Matters Limited,self help,Education,NOT_MATURE,388,0.0,0,2009-01-01,"Due to its theoretical and educational significance within the language learning process, the study of L2 motivation has been an important area of second language acquisition research for several decades. Over the last few years L2 motivation research has taken an exciting new turn by focusing increasingly on the language learner's situated identity and various self-perceptions. As a result, the concept of L2 motivation is currently in the process of being radically reconceptualised and re-theorised in the context of contemporary notions of self and identity. With contributions by leading European, North American and Asian scholars, this volume brings together the first comprehensive anthology of key conceptual and empirical papers that mark this important paradigmatic shift.",2009,0.1540066777963272,0.7808219178082183,5,5,2
Constellations of Life Satisfaction in Three Cohorts of Women,Rosanne du Bois Brouwer,Unknown,self help,Ego (Psychology),NOT_MATURE,210,0.0,0,1995-01-01,,1995,0.07971619365609349,0.5890410958904084,5,5,2
Ego Psychology and Mental Disorder,"David Paul Ausubel, Daniel Kirk",Saunders,self help,Psychology,NOT_MATURE,376,5.0,1,1977-01-01,,1977,0.1489983305509182,0.3424657534246549,5,5,2
"Self, Society, and Science","Debi Prasad Chattopadhyaya, Ashoke Kumar Sen Gupta",Unknown,self help,Philosophy and science,NOT_MATURE,540,0.0,0,2005-01-01,"Self, Society And Science: Theoretical And Historical Perspectives Is One Of A Set Of Four Volumes Purported To Broach The Basic Themes Of The Subject, Consciousness, Science, Society Value And Yoga [Conssavy]. This Sub-Project Is A Part And Extension Of The Ongoing Project Of History Of Indian Science, Philosophy And Culture [Phispc]. Science Has Been Descrived Both As Abstract And Concrete. Mathematical Language, Constructive Orientation And The Invisible Universality Of Scientific Laws Make It Abstract. But When Its Dependence On Human Experience And Practice Is Recalled, Science Is Felt To Be Concrete And Close To Common Sense. Science Is Social In A Double Sense. No Individual In His Isolation Can Create Science. He Is Influenced By The Views Of Others, Predecessors And Contemporaries, And Scientific Truth-Claims Need To Be Attested At Least In Principle By All. Sociology Of Science Is A Valid Form Of Knowledge. Without Peer Endorsement And Acceptance No New Scientific Theory Is Recognized As Truly Scientific. Of Course The Validation Of Science Is A More Comprehensive Affair Than The Mere Sociological Approval Of It. In Science, Diverse Information About The World Are Sought To Be Systematized In Terms Of Laws. The Attempted Systematization Of Knowledge In Science Takes Alternative Forms. History And Philosophy Of Science Are Replete With The Examples Of These Alternatives. The Ptolemaic And Copernican Models In Astronomy, The Newtonian And Quantum Physics Are Among The Most Well-Known Examples Of This Point. Not Only Scientific Communities But Also Individual Scientists Author These Changing Alternative Models. Many Philosophically Inclined Scientists Maintain That The Ultimate Principle Of Scientific Systematization Is The Human Self, Psychological Or Presuppositional. The Self Enters The Domain Of Science Both In The Context Of Its Origination And Also In That Of Its Validation. The Self Has Been Explicated Behaviourally, Introspectively And Transcendentally. All These Interpretations Of The Self And Their Relation To The Society And Science Have Been Discussed In The Papers Of This Book. While Some Authors Have Highlighted Historical Perspectives, Others Paid Their Main Attention To The Theoretical Ones.",2005,0.21744574290484142,0.7260273972602711,5,5,2
Lives in Motion,Susan Orpett Long,"Cornell University, East Asia Program",self help,History,NOT_MATURE,320,0.0,0,1999-01-01,,1999,0.12562604340567612,0.6438356164383556,5,5,2
Sex Role and Self Concept,Alexandra Botwinik Fand,Unknown,self help,Femininity,NOT_MATURE,306,0.0,0,1955-01-01,,1955,0.11978297161936563,0.041095890410957736,5,5,2
"Locus of Control, Body Articulation and Sexual Differentiation in Women as Modified by Self-help and Sex Education Programs",Patricia Eileen Thompson,Unknown,self help,Body image,NOT_MATURE,330,0.0,0,1977-01-01,,1977,0.12979966611018365,0.3424657534246549,5,5,2
The Therapeutic Self,John Goodrich Watkins,Unknown,self help,Psychology,NOT_MATURE,554,0.0,0,1978-01-01,,1978,0.22328881469115194,0.3561643835616408,5,5,2
Radical Self-acceptance,James M. McMahon,Crossroad Publishing,self help,Family & Relationships,NOT_MATURE,280,0.0,0,1999-01-01,"A gracefully written, wise, and compassionate guide that speaks to the call deep within each of us to seek truth, wholeness, and interior freedom.",1999,0.10893155258764609,0.6438356164383556,0,0,2
The Self in Social Psychology,"Daniel M. Wegner, Robin R. Vallacher",New York : Oxford University Press,self help,History,NOT_MATURE,328,0.0,0,1980-01-01,"Current theories of the self in social psychology, such as self-perception theory, self-presentation theory, and self-awareness theory, are presented with a view toward showing their implications for many aspects of social life. ""A remarkably comprehensive treatment of a variety of topics whose empirical histories are concentrated within the past 15 years. ... The two editors have done a commendable job of extracting good prose from their authors."" --Contemporary Psychology.",1980,0.12896494156928215,0.3835616438356162,5,5,2
The Female Ego,Susan Price,New York : Rawson Associates,self help,Psychology,NOT_MATURE,280,0.0,0,1984-01-01,,1984,0.10893155258764609,0.43835616438355984,5,5,2
Understanding the Self,Richard Stevens,SAGE Publications Limited,self help,Psychology,NOT_MATURE,388,0.0,0,1996-02-27,Understanding the Self offers a stimulating analysis of the different aspects of personal being and the theoretical perspectives related to them. This book will be of interest to academics and students in psychology and social psychology.,1996,0.1540066777963272,0.6027397260273943,5,5,2
Beyond Self-esteem,Thomas J. Cottle,"Peter Lang Incorporated, International Academic Publishers",self help,Education,NOT_MATURE,220,0.0,0,2003-01-01,"In Beyond Self-Esteem, Thomas J. Cottle argues that America's preoccupation with notions of self-esteem and self-regard not only does not reflect the fundamental nature of the self, but leads to selfish behavior and an inability to devote one's self to friendships. The self, Cottle writes, is predicated on social relationships and, more specifically, on the affirmation each of us offers to the other, as well as the degree of responsibility we find ourselves willing to take for one another. It is Cottle's contention, reinforced by his theoretical positions and by the narrative accounts of children and adults alike, that affirmation of and the assumption of responsibility for other people remain the most ethical human actions.",2003,0.08388981636060101,0.6986301369862993,5,5,2
Open-mindedness and Self-ideal Discrepancy as They Affect Attraction to a Helping Situation,Lynne G. Tenbusch,Unknown,self help,Self,NOT_MATURE,190,0.0,0,1967-01-01,,1967,0.07136894824707847,0.20547945205479223,5,5,2
"Melanie Klein: The ego and the good object, 1932-1960",Jean-Michel Petot,Unknown,self help,Attachment behavior,NOT_MATURE,304,0.0,0,1990-01-01,,1990,0.1189482470784641,0.5205479452054789,5,5,2
Ecological Psychology,Deborah Du Nann Winter,Addison Wesley Publishing Company,self help,Nature,NOT_MATURE,340,0.0,0,1996-01-01,"This work seeks to explain how human behaviour, thoughts, beliefs, values and feelings have contributed to environmental crises and how contributions from within psychology could aid the understanding and resolution of our environmental problems. The author examines social psychology, psychoanalysis, behaviourism, cognitive, and gestalt/transperal psychology and applies these theories to a selected environmental problem.",1996,0.13397328881469117,0.6027397260273943,5,5,2
The Clinical Psychology of Melanie Klein,Otto Weininger,Charles C. Thomas Publisher,self help,Psychology,MATURE,158,0.0,0,1984-01-01,,1984,0.05801335559265443,0.43835616438355984,5,5,2
Other Than Identity,Juliet Steyn,Unknown,self help,Art,NOT_MATURE,268,0.0,0,1997-01-01,"We are witnessing a Europe in turmoil, tormented by the violence of ethnic and nationalist struggles which legitimate themselves in the name of identity. This anthology explores the assumptions of identity by disassembling old myths and fictions of unity in relation to the subject, politics and art. Other than identity offers the possibility of rethinking the concept and introducing instead notions of self and other, identity politics and aesthetics.",1997,0.10392320534223706,0.6164383561643803,5,5,2
The Developing Ego and the Emerging Self in Group Therapy,"Dorothy Flapan, Gerd Fenchel","Jason Aronson, Incorporated",self help,Medical,NOT_MATURE,312,0.0,0,1987-01-01,"To find more information about Rowman and Littlefield titles, please visit www.rowmanlittlefield.com.",1987,0.12228714524207013,0.4794520547945176,5,5,2
The Psychodynamic Image,Jill Savege Scharff,Unknown,self help,Psychology,NOT_MATURE,204,0.0,0,2007-01-01,"The Psychodynamic Image is the first selection of John D. Sutherland's major papers. It provides an overview of the development of his thought on self and society and reveals the extent of his contribution to the field of mental health. Jill Savege Scharff introduces Sutherland's most important and influential essays. These reflect his range as a theoretician, moving easily from the intrapsychic to the interpersonal level, building bridges between points of view and integrating psychoanalytic and social theories. Sutherland's work calls for changes at the individual level through understanding conflicts and unconscious processes as aspects of parts of the self in interaction. He inspires respect and understanding of the self and its drive toward autonomy. These papers push the boundaries of psychoanalytic thinking and succeed in demonstrating the relevance of psychoanalysis to the wider society. They will be of great interest to psychoanalysts, psychotherapists, counsellors and social workers.",2007,0.07721202003338899,0.7534246575342465,5,5,2
