title,authors,publisher,subject,categories,maturityRating,page_count,average_rating,ratings_count,published_date,description,publish_year,page_count_scaled,publish_year_scaled,cluster_11,cluster_12,cluster
The Dream of the Celt,Mario Vargas Llosa,Macmillan + ORM,fiction,Fiction,NOT_MATURE,455,0.0,0,2012-06-05,"This ""vast and intriguing novel"" explores the life of an Irish nationalist who exposed Britain's colonial crimes—by the Nobel Prize–winning author ( Guardian, UK). In 1916, the Irish nationalist Roger Casement was hanged by the British government for treason. Casement had dedicated his extraordinary life to improving the plight of oppressed peoples around the world—especially the native populations in the Belgian Congo and the Amazon. But when he dared to draw a parallel between the injustices he witnessed in African and American colonies and those committed by the British in Northern Ireland, he became involved in a cause that led to his imprisonment and execution. When Casement's homosexuality was revealed by his prosecutors—who drew excerpts from his personal ""black diary""—the resulting scandal tainted his image to such a degree that his pioneering human rights work was nearly forgotten to history. In The Dream of the Celt, Mario Vargas Llosa—one of Latin America's most vibrant, provocative, and necessary literary voices—brings this complex character to life as no other writer can. A masterful work, sharply translated by Edith Grossman, The Dream of the Celt tackles a controversial man whose story has long been neglected, and, in so doing, pushes at the boundaries of the historical novel.",2012,0.18196994991652757,0.821917808219176,4,4,3
The Natural,Bernard Malamud,Macmillan,fiction,Fiction,NOT_MATURE,250,0.0,0,1952-01-01,Story of a baseball player's record-shattering career.,1952,0.09641068447412354,0.0,4,4,3
Journey to the Center of the Earth,Jules Verne,Bantam,fiction,Fiction,NOT_MATURE,242,3.5,3,2006-04-25,"The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth’s very core. In his quest to penetrate the planet’s primordial secrets, the geologist—together with his quaking nephew Axel and their devoted guide, Hans—discovers an astonishing subterranean menagerie of prehistoric proportions. Verne’s imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor. As David Brin notes in his Introduction, though Verne never knew the term “science fiction,” Journey to the Centre of the Earth is “inarguably one of the wellsprings from which it all began.”",2006,0.09307178631051753,0.739726027397257,4,4,3
Mysteries,Knut Hamsun,Penguin,fiction,Fiction,NOT_MATURE,356,4.0,3,2001-01-01,"The first complete English translation of the Nobel Prize-winner’s literary masterpiece A Penguin Classic Mysteries is the story of Johan Nilsen Nagel, a mysterious stranger who suddenly turns up in a small Norwegian town one summer—and just as suddenly disappears. Nagel is a complete outsider, a sort of modern Christ treated in a spirit of near parody. He condemns the politics and thought of the age, brings comfort to the “insulted and injured,” and gains the love of two women suggestive of the biblical Mary and Martha. But there is a sinister side of him: in his vest he carries a vial of prussic acid... The novel creates a powerful sense of Nagel's stream of thought, as he increasingly withdraws into the torture chamber of his own subconscious psyche. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,800 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",2001,0.1406510851419032,0.6712328767123275,4,4,3
Cat's Cradle,Kurt Vonnegut,Dial Press Trade Paperback,fiction,Fiction,NOT_MATURE,308,4.0,147,1998-09-08,"“A free-wheeling vehicle . . . an unforgettable ride!”—The New York Times Cat’s Cradle is Kurt Vonnegut’s satirical commentary on modern man and his madness. An apocalyptic tale of this planet’s ultimate fate, it features a midget as the protagonist, a complete, original theology created by a calypso singer, and a vision of the future that is at once blackly fatalistic and hilariously funny. A book that left an indelible mark on an entire generation of readers, Cat’s Cradle is one of the twentieth century’s most important works—and Vonnegut at his very best. “[Vonnegut is] an unimitative and inimitable social satirist.”—Harper’s Magazine “Our finest black-humorist . . . We laugh in self-defense.”—Atlantic Monthly",1998,0.12061769616026713,0.6301369863013697,4,4,3
There There,Tommy Orange,Vintage,fiction,Fiction,NOT_MATURE,260,5.0,2,2018-06-05,"PULITZER PRIZE FINALIST • NATIONAL BESTSELLER • A wondrous and shattering award-winning novel that follows twelve characters from Native communities: all traveling to the Big Oakland Powwow, all connected to one another in ways they may not yet realize. A contemporary classic, this “astonishing literary debut” (Margaret Atwood, bestselling author of The Handmaid’s Tale) “places Native American voices front and center” (NPR/Fresh Air). One of The Atlantic’s Great American Novels of the Past 100 Years Among them is Jacquie Red Feather, newly sober and trying to make it back to the family she left behind. Dene Oxendene, pulling his life together after his uncle’s death and working at the powwow to honor his memory. Fourteen-year-old Orvil, coming to perform traditional dance for the very first time. They converge and collide on one fateful day at the Big Oakland Powwow and together this chorus of voices tells of the plight of the urban Native American—grappling with a complex and painful history, with an inheritance of beauty and spirituality, with communion and sacrifice and heroism A book with “so much jangling energy and brings so much news from a distinct corner of American life that it’s a revelation” (The New York Times). It is fierce, funny, suspenseful, and impossible to put down--full of poetry and rage, exploding onto the page with urgency and force. There There is at once poignant and unflinching, utterly contemporary and truly unforgettable. Don't miss Tommy Orange's new book, Wandering Stars!",2018,0.10058430717863105,0.9041095890410951,4,4,3
The Civilisation of the Renaissance in Italy,Jacob Burckhardt,Litres,fiction,Fiction,NOT_MATURE,975,0.0,0,2019-05-08,,2019,0.3989983305509182,0.917808219178081,4,4,3
The Virginian,Owen Wister,"Oxford University Press, USA",fiction,Fiction,NOT_MATURE,406,4.0,2,1998-01-01,"Owen Wister's classic popular romance THE VIRGINIAN (1902) had a significant influence on the Western fiction genre. This edition includes Wister's neglected essay, ""The Evolution of the Cow-Puncher"" (1895) and an introduction highlighting the social, gender, and political implications of Wister's mythic West in the context of its actual history.",1998,0.16151919866444076,0.6301369863013697,4,4,3
Cape Cod,Henry D. Thoreau,BoD – Books on Demand,fiction,Fiction,NOT_MATURE,262,0.0,0,2022-03-08,"Reprint of the original, first published in 1866.",2022,0.10141903171953257,0.9589041095890387,4,4,3
The History of the Peloponnesian War,Thucydides,Otbebookpublishing,fiction,Fiction,NOT_MATURE,738,0.0,0,2021-01-13,"The History of the Peloponnesian War (Greek: Ἱστορίαι, ""Histories"") is a historical account of the Peloponnesian War (431–404 BC), which was fought between the Peloponnesian League (led by Sparta) and the Delian League (led by Athens). It was written by Thucydides, an Athenian historian who also served as an Athenian general during the war. His account of the conflict is widely considered to be a classic and regarded as one of the earliest scholarly works of history. The History is divided into eight books.",2021,0.3000834724540901,0.9452054794520528,4,4,3
The House of the Seven Gables,Nathaniel Hawthorne,CreateSpace,fiction,Unknown,NOT_MATURE,250,0.0,0,2015-04-11,The House of the Seven Gables By Nathaniel Hawthorne,2015,0.09641068447412354,0.8630136986301338,8,8,0
The Last Girl,Danny Lopez,Oceanview Publishing,fiction,Fiction,NOT_MATURE,185,0.0,0,2017-08-01,"After being laid off from his job as a newspaper reporter in a coastal Florida town, Dexter Vega meets a wealthy retiree who hires him to find his daughter who is supposed to be attending the local college. When Vega visits his client to inform him that his daughter is in Mexico, he discovers the man has been murdered. And Vega's prints are all over the murder weapon.As the police build a case against him, Vega flies to Mexico City to locate his client's daughter, hoping she will help him find the murderer and thus clear his name. But when he finds the woman, she tells him a very different story—nothing is as it seems. Beaten by thugs and ordered to leave Mexico, Vega returns home to find himself immersed in a web of blackmail, greed, and revenge. Still pursued by the cops, but now a target of evil predators.",2017,0.06928213689482471,0.8904109589041092,4,4,3
The Scarlet Letter Annotated,Nathaniel Hawthorne,Unknown,fiction,Unknown,NOT_MATURE,316,0.0,0,2021-01-05,"Set in an early New England colony, the novel shows the terrible impact a single, passionate act has on the lives of three members of the community: the defiant Hester Prynne; the fiery, tortured Reverend Dimmesdale; and the obsessed, vengeful Chillingworth.",2021,0.12395659432387313,0.9452054794520528,8,8,0
A Voyage to Arcturus,David Lindsay,Unknown,fiction,Fiction,NOT_MATURE,300,0.0,0,1968-01-01,"Considered by the Irish Times as ""one of the most brilliant flights of pure fancy ever recorded,"" this amazing story explores the beauty and untamed nature of a faraway world, where wild creatures crowd the fantastic landscape and demented torturers dominate victims with their bizarre mental powers.",1968,0.1172787979966611,0.21917808219177815,4,4,3
The Interestings,Meg Wolitzer,Penguin,fiction,Fiction,NOT_MATURE,482,0.0,0,2013-04-09,"Named a best book of the year by Entertainment Weekly, Time, and The Chicago Tribune, and named a notable book by The New York Times Book Review and The Washington Post “Remarkable . . . With this book [Wolitzer] has surpassed herself.”—The New York Times Book Review ""A victory . . . The Interestings secures Wolitzer's place among the best novelists of her generation. . . . She's every bit as literary as Franzen or Eugenides. But the very human moments in her work hit you harder than the big ideas. This isn't women's fiction. It's everyone's.""—Entertainment Weekly (A) From Meg Wolitzer, the New York Times–bestselling author of The Female Persuasion, a novel that has been called ""genius"" (The Chicago Tribune), “wonderful” (Vanity Fair), ""ambitious"" (San Francisco Chronicle), and a “page-turner” (Cosmopolitan). The summer that Nixon resigns, six teenagers at a summer camp for the arts become inseparable. Decades later the bond remains powerful, but so much else has changed. In The Interestings, Wolitzer follows these characters from the height of youth through middle age, as their talents, fortunes, and degrees of satisfaction diverge. The kind of creativity that is rewarded at age fifteen is not always enough to propel someone through life at age thirty; not everyone can sustain, in adulthood, what seemed so special in adolescence. Jules Jacobson, an aspiring comic actress, eventually resigns herself to a more practical occupation and lifestyle. Her friend Jonah, a gifted musician, stops playing the guitar and becomes an engineer. But Ethan and Ash, Jules’s now-married best friends, become shockingly successful—true to their initial artistic dreams, with the wealth and access that allow those dreams to keep expanding. The friendships endure and even prosper, but also underscore the differences in their fates, in what their talents have become and the shapes their lives have taken. Wide in scope, ambitious, and populated by complex characters who come together and apart in a changing New York City, The Interestings explores the meaning of talent; the nature of envy; the roles of class, art, money, and power; and how all of it can shift and tilt precipitously over the course of a friendship and a life.",2013,0.19323873121869783,0.835616438356162,4,4,3
World's End,T.C. Boyle,Penguin,fiction,Fiction,NOT_MATURE,481,0.0,0,1990-07-20,"WINNER OF THE PEN/FAULKNER AWARD • In this stunning novel, one man traces the tangled histories of three very different families—from the New York Times bestselling author of The Tortilla Curtain “Boyle has emerged as one of the most inventive and verbally exuberant writers of his generation.”—The New York Times Haunted by the burden of his family’s traitorous past, woozy with pot, cheap wine, and sex, and disturbed by a frighteningly real encounter with some family ghosts, Walter Van Brunt is about to have a collision with history. It will lead Walter to search for his lost father. And it will send the story into the past of the Hudson River Valley, from the 1960s back to the anticommunist riots of the 1940s to the late seventeenth century, where the long-hidden secrets of three families—the aristocratic Van Warts, the Native American Mohonks, and Walter’s own ancestors, the Van Brunts—will be revealed.",1990,0.19282136894824708,0.5205479452054789,4,4,3
Swann's Way,Marcel Proust,Yale University Press,fiction,Fiction,NOT_MATURE,506,0.0,0,2013-11-14,The narrator interrupts reminiscences about his childhood spent in late-nineteenth-century France to recall the affair which a friend of the family carried on with young Odette de Crecy.,2013,0.20325542570951588,0.835616438356162,4,4,3
The Fountainhead,Ayn Rand,Signet Book,fiction,Architects,NOT_MATURE,704,0.0,0,1952-01-01,"The story of a gifted architect, his struggle against conventional standards, and his violent love affair.",1952,0.2858931552587646,0.0,4,4,3
The Tragedy of King Lear,William Shakespeare,Unknown,fiction,Unknown,NOT_MATURE,124,0.0,0,2020-12-22,"King Lear is a tragedy written by William Shakespeare. It tells the tale of a king who bequeaths his power and land to two of his three daughters, after they declare their love for him in a fawning and obsequious manner. His third daughter gets nothing, because she will not flatter him as her sisters had done. When he feels he has been treated with disrespect by the two daughters who now have his wealth and power, he becomes furious to the point of madness. He eventually becomes tenderly reconciled to his third daughter, just before tragedy strikes her and then the king.",2020,0.04382303839732889,0.9315068493150669,8,8,0
Whiteout,Ken Follett,Wheeler Publishing,fiction,Fiction,NOT_MATURE,642,0.0,0,2005-01-01,"A missing canister containing a deadly virus forms the center of a storm that traps Stanley Oxenford, director of a medical research firm, and a violent trio of thugs in a remote house during a Christmas Eve blizzard.",2005,0.260016694490818,0.7260273972602711,4,4,3
The Severed Hand,Вильгельм Гауф,Litres,fiction,Fiction,NOT_MATURE,19,0.0,0,2019-04-10,,2019,0.0,0.917808219178081,4,4,3
Pride and Prejudice,Jane Austen,Createspace Independent Publishing Platform,fiction,Unknown,NOT_MATURE,330,0.0,0,2017-09-29,"Elizabeth Bennet is Austen's most liberated and unambiguously appealing heroine, and Pride and Prejudice has remained over most of the past two centuries Austen's most popular novel. The story turns on the marriage prospects of the five daughters of Mr. and Mrs. Bennet: Elizabeth forms a prejudice against the proud and distant Mr. Darcy; Darcy's charming friend Charles Bingley falls in love with her sister Jane; and the handsome officer George Wickham forms attachments successively to Elizabeth and to her sister Lydia. Irvine's extensive introduction sets the novel in the context of the literary and intellectual history of the period, and deals with such crucial background issues as early-nineteenth century class relations in Britain, and female exclusion from property and power.",2017,0.12979966611018365,0.8904109589041092,8,8,0
Angelology,Danielle Trussoni,Anchor Canada,fiction,Fiction,NOT_MATURE,466,0.0,0,2011-03-01,"Set in the secluded world of cloistered abbeys, long-lost secrets and angelic humans, Angelology has all the makings of a blockbuster hit, combining elements of The Da Vinci Code and Kate Mosse's Labyrinth Sister Evangeline was just a young girl when her father left her at St. Rose Convent under the care of the Franciscan Sisters of Perpetual Adoration. Now a young woman, she has unexpectedly discovered a collection of letters dating back sixty years—letters that bring her deep into a closely guarded secret, to an ancient conflict between the millennium-old Society of Angelologists and the monstrously beautiful Nephilim, the descendants of angels and humans. Rich and mesmerizing, Angelology blends biblical lore, mythology and the fall of the Rebel Angels, creating a luminous, riveting tale of one young woman caught in a battle that will determine the fate of the world.",2011,0.1865609348914858,0.8082191780821901,4,4,3
Shakespeare on Love & Lust,Maurice Charney,Columbia University Press,fiction,Fiction,MATURE,248,0.0,0,2000-01-01,"In Shakespeare on Love & Lust, Maurice Charney delves deeply into Shakespeare's rhetorical and thematic development of this largest of subjects to reveal what makes his plays and poems resonate with contemporary audiences.""--BOOK JACKET.",2000,0.09557595993322204,0.6575342465753415,4,4,3
Typee Illustrated,Herman Melville,Unknown,fiction,Unknown,NOT_MATURE,406,0.0,0,2019-11-26,"Typee: A Peep at Polynesian Life is the first book by American writer Herman Melville, published first in London, then New York, in 1846. Considered a classic in travel and adventure literature, the narrative is partly based on the author's actual experiences on the island Nuku Hiva in the South Pacific Marquesas Islands in 1842, liberally supplemented with imaginative reconstruction and adaptation of material from other books. The title is from the province Tai Pi Vai. Typee was Melville's most popular work during his lifetime; it made him notorious as the ""man who lived among the cannibals""",2019,0.16151919866444076,0.917808219178081,8,8,0
Robinson Crusoe Illustrated,Daniel Defoe,Unknown,fiction,Unknown,NOT_MATURE,360,0.0,0,2020-12-14,"Robinson Crusoe is a novel by Daniel Defoe, first published on 25 April 1719. The first edition credited the work's protagonist Robinson Crusoe as its author, leading many readers to believe he was a real person and the book a travelogue of true incidents.Epistolary, confessional, and didactic in form, the book is presented as an autobiography of the title character (whose birth name is Robinson Kreutznaer)-a castaway who spends 28 years on a remote tropical desert island near Trinidad, encountering cannibals, captives, and mutineers, before ultimately being rescued. The story has been thought to be based on the life of Alexander Selkirk, a Scottish castaway who lived for four years on a Pacific island called ""Más a Tierra"", now part of Chile, which was renamed Robinson Crusoe Island in 1966",2020,0.1423205342237062,0.9315068493150669,8,8,0
Harry Potter and the Deathly Hallows - Slytherin Edition,J. K. Rowling,Bloomsbury Children's Books,fiction,Juvenile Fiction,NOT_MATURE,640,0.0,0,2021-06-10,,2021,0.2591819699499165,0.9452054794520528,4,4,3
The Quick and the Dead,Joy Williams,Knopf,fiction,Fiction,NOT_MATURE,330,0.0,0,2000-01-01,"From one of our most heralded writers--Joy Williams belongs, James Salter has written, ""in the company of Celine, Flannery O'Connor, and Margaret Atwood""--her first novel in more than a decade: the life-and-death adventures of three misfit teenagers in the American desert. Alice, Corvus, and Annabel, each a motherless child, are an unlikely circle of friends. One filled with convictions, another with loss, the third with a worldly pragmatism, they traverse an air-conditioned landscape eccentric with signs and portents--from the preservation of the living dead in a nursing home to the presentation of the dead as living in a wildlife museum--accompanied by restless, confounded adults. A father lusts after his handsome gardener even as he's haunted (literally) by his dead wife; a heartbroken dog runs afoul of an angry neighbor; a young stroke victim drifts westward, his luck running from worse to awful; a sickly musician for whom Alice develops an attraction is drawn instead toward darker imaginings and solutions; and an aging big-game hunter finds spiritual renewal through his infatuation with an eight-year-old--the formidable Emily Bliss Pickless. With nature thoroughly routed and the ambiguities of existence on full display, life and death continue in directions both invisible and apparent. Gloriously funny and wonderfully serious, The Quick and the Dead limns the vagaries of love, the thirst for meaning, and the peculiar paths by which all creatures are led to their destiny. A panorama of contemporary life and an endlessly surprising tour de force: penetrating and magical, ominous and comic, this is the most astonishing book yet in Joy Williams's illustrious career.",2000,0.12979966611018365,0.6575342465753415,4,4,3
White Fang,Jack London,Unknown,fiction,Fiction,NOT_MATURE,336,0.0,0,2007-09-01,"Jack London was an author author best known today for his thrilling adventure books. The fast-paced action of ""White Fang"" never lets up; danger is always waiting beyond the next pile of snow or beneath the claws of a snarling predator. This novel was an immediate success when it was first published in 1905, and it has been so ever since.",2007,0.13230383973288815,0.7534246575342465,4,4,3
The Adventures of Huckleberry Finn (Illustrated),Mark Twain,Unknown,fiction,Unknown,NOT_MATURE,385,0.0,0,2021-09-08,"The Adventures of Huckleberry Finn (or, in more recent editions, The Adventures of Huckleberry Finn) is a novel by Mark Twain, first published in the United Kingdom in December 1884 and in the United States in February 1885. Commonly named among the Great American Novels, the work is among the first in major American literature to be written throughout in vernacular English, characterized by local color regionalism. It is told in the first person by Huckleberry ""Huck"" Finn, the narrator of two other Twain novels (Tom Sawyer Abroad and Tom Sawyer, Detective) and a friend of Tom Sawyer. It is a direct sequel to The Adventures of Tom Sawyer.",2021,0.15275459098497496,0.9452054794520528,8,8,0
"The Dragon Blood Collection, Books 1-3",Lindsay Buroker,Lindsay Buroker,fiction,Fiction,NOT_MATURE,829,5.0,1,2014-12-01,"A thousand years have passed since a dragon has been seen in the world. Science and technology have replaced magic, which has dwindled until it has become little more than an element of myth and legend. There are those who still have dragon blood flowing through their veins, distant descendants of the mighty creatures of old. These rare humans have the power to cast magic, the power to heal, and the power to craft alchemical weapons capable of starting wars… or ending them. But they are feared for those powers, and in recent centuries, they have been hunted nearly to extinction. The few remaining survivors must find a way to change how humanity perceives them or be lost to the world forever. The Dragon Blood Collection includes three full-length novels of action, magic, and romance: Balanced on the Blade’s Edge Deathmaker Blood Charged",2014,0.3380634390651085,0.8493150684931479,4,4,3
Nobody's Boy,Hector Malot,Unknown,fiction,Unknown,NOT_MATURE,492,0.0,0,2019-11-04,"Hector Malot's most famous book, tells the story of an orphan, raised by a loving adoptive mother, later sold to an entertainer, traveling across the French countryside.Nobody's Boy became immensely popular as a children's book, although Malot did not intended as such.A French writer, born in La Bouille, on May 20, 1830. Studied law in Rouen and Paris. Worked as a dramatic critic for Lloyd Francais and as a literary critic for L'Opinion Nationale. Les Amants, his first book, was published in 1859.",2019,0.19741235392320536,0.917808219178081,8,8,0
The Dangerous Summer,Ernest Hemingway,Macmillan Reference USA,fiction,Biography & Autobiography,NOT_MATURE,264,0.0,0,1985-01-01,"The Dangerous Summer is Hemingway's firsthand chronicle of a brutal season of bullfights. In this vivid account, Hemingway captures the exhausting pace and pressure of the season, the camaraderie and pride of the matadors, and the mortal drama as in fight after fight the rival matadors try to outdo each other with ever more daring performances. At the same time Hemingway offers an often complex and deeply personal self-portrait that reveals much about one of the twentieth century's preeminent writers.",1985,0.10225375626043406,0.45205479452054576,4,4,3
Persuasion,Jane Austen,Blurb,fiction,Fiction,NOT_MATURE,140,0.0,0,2019-04-24,"Veuf et père de trois filles, le baronnet Walter Eliot est ruiné. Il doit laisser sa propriété en location pour se retirer à Bath. Sa fille Elisabeth le suit tandis que ses deux autres filles restent dans la région, Anne toujours célibataire à 28 ans trouvant refuge chez sa soeur Mary. Les nouveaux locataires de la propriété arrivent, il s'agit de l'amiral Croft et de sa femme. Celle-ci a un frère, le Capitaine Wentworth, qui a été fiancé il y a quelques années avec Anne. Celle-ci n'avait pas donné suite à cette liaison, suivant l'avis de son amie, Lady Russell, qui trouvait le capitaine d'un rang inférieur indigne d'Anne. Mais les années ont passé, le capitaine rend visite à sa soeur, il a réussi et s'est enrichi, il cherche à se marier. Anne n'a pas oublié Wentworth.",2019,0.05050083472454091,0.917808219178081,4,4,3
The Importance of Being Earnest,Oscar Wilde,Createspace Independent Publishing Platform,fiction,Fiction,NOT_MATURE,128,0.0,0,2013-04-14,The Importance of Being Earnest: A Trivial Comedy for Serious People,2013,0.045492487479131885,0.835616438356162,4,4,3
The Golden Bowl,Henry James,Unknown,fiction,Fiction,NOT_MATURE,556,0.0,0,1983-01-01,"The novel opens with Prince Amerigo musing in Bond Street on his approaching marriage, and on the likely consequences of an alliance between Roman aristocracy and American millions ...",1983,0.22412353923205344,0.42465753424657393,4,4,3
Carmilla,Joseph Sheridan Joseph Sheridan Le Fanu,Unknown,fiction,Unknown,NOT_MATURE,130,0.0,0,2015-07-12,"Upon a paper attached to the Narrative which follows, Doctor Hesselius has written a rather elaborate note, which he accompanies with a reference to his Essay on the strange subject which the MS. illuminates.This mysterious subject he treats, in that Essay, with his usual learning and acumen, and with remarkable directness and condensation. It will form but one volume of the series of that extraordinary man's collected papers.As I publish the case, in this volume, simply to interest the ""laity,"" I shall forestall the intelligent lady, who relates it, in nothing; and after due consideration, I have determined, therefore, to abstain from presenting any précis of the learned Doctor's reasoning, or extract from his statement on a subject which he describes as ""involving, not improbably, some of the profoundest arcana of our dual existence, and its intermediates.""I was anxious on discovering this paper, to reopen the correspondence commenced by Doctor Hesselius, so many years before, with a person so clever and careful as his informant seems to have been. Much to my regret, however, I found that she had died in the interval.She, probably, could have added little to the Narrative which she communicates in the following pages, with, so far as I can pronounce, such conscientious particularity.",2015,0.046327212020033384,0.8630136986301338,8,8,0
Chaka,Thomas Mofolo,Heinemann Educational Publishers,fiction,Fiction,NOT_MATURE,198,0.0,0,1981-01-01,Tells the classic story of the Zulu hero Chaka.,1981,0.07470784641068448,0.3972602739726021,4,4,3
The Canterbury Tales,Geoffrey Chaucer,Penguin Classics,fiction,Fiction,NOT_MATURE,534,0.0,0,1977-01-01,A translation into modern English of the medieval poem about a group of travelers on a pilgrimage to Canterbury and the tales they tell each other.,1977,0.2149415692821369,0.3424657534246549,4,4,3
A Study in Scarlet Illustrated,Sir Arthur Conan Doyle,Unknown,fiction,Unknown,NOT_MATURE,186,0.0,0,2021-02-17,"A Study in Scarlet is an 1887 detective novel written by Arthur Conan Doyle. The story marks the first appearance of Sherlock Holmes and Dr. Watson, who would become the most famous detective duo in popular fiction. The book's title derives from a speech given by Holmes, a consulting detective, to his friend and chronicler Watson on the nature of his work, in which he describes the story's murder investigation as his ""study in scarlet"": ""There's the scarlet thread of murder running through the colourless skein of life, and our duty is to unravel it, and isolate it, and expose every inch of it.",2021,0.06969949916527547,0.9452054794520528,8,8,0
Whirlwind Courtship,"Jayne Ann Krentz, Jayne Taylor",Leisure Books,fiction,Fiction,NOT_MATURE,196,0.0,0,1991-04-01,,1991,0.07387312186978298,0.5342465753424648,4,4,3
The Hound of the Baskervilles Illustrated,Sir Arthur Conan Doyle,Independently Published,fiction,Unknown,NOT_MATURE,216,0.0,0,2021-01-15,"The Hound of the Baskervilles is the third of the four crime novels written by Sir Arthur Conan Doyle featuring the detective Sherlock Holmes. Originally serialised in The Strand Magazine from August 1901 to April 1902, it is set largely on Dartmoor in Devon in England's West Country and tells the story of an attempted murder inspired by the legend of a fearsome, diabolical hound of supernatural origin. Sherlock Holmes and his companion Dr. Watson investigate the case. This was the first appearance of Holmes since his apparent death in ""The Final Problem"", and the success of The Hound of the Baskervilles led to the character's eventual revival",2021,0.082220367278798,0.9452054794520528,8,8,0
The King in Yellow Annotated,Robert William Chambers,Unknown,fiction,Unknown,NOT_MATURE,270,0.0,0,2021-02-14,"The book is named after a fictional play with the same title which recurs as a motif through some of the stories. The first half of the book features highly esteemed weird stories, and the book is described by S.T. Joshi as a classic in the field of the supernatural. There are 10 stories, the first four of which, ""The Repairer of Reputations"", ""The Mask"", ""In the Court of the Dragon"" and ""The Yellow Sign"", mention The King in Yellow, a forbidden play which induces despair or madness in those who read it. ""The Yellow Sign"" inspired a film of the same name released in 2001.",2021,0.10475792988313858,0.9452054794520528,8,8,0
Nana,Emile Zola,Independently Published,fiction,Unknown,NOT_MATURE,178,0.0,0,2020-10-30,"Nana, daughter of a drunk and a laundress, is the Helen of Troy of Paris. A sexually magnetic high-class prostitute and actress, she becomes a celebrity, rapidly conquering society, ruining all men who fall under her spell -- especially Count Muffat, Chamberlain to the Empress. Nana herself meets a terrible fate, consumed by her own dissipation and extravagance, just as the disastrous war with Prussia is declared.Nana is the ninth instalment in the twenty volume Rougon-Macquart series. The novel opens in 1867, the year of the World Fair, when Paris, thronged by a cosmopolitan elite, was la Ville Lumiere, the glittering setting-and object-of Zola's scathing denunciation of society's hypocrisy and moral corruption. Nana comes to symbolize the Second Empire regime itself in all its excesses; but in the final chapters, the narrator seems to suggest that the coming disaster is not so much a result of the corruption of the Empire, as of rampant female sexuality.",2020,0.06636060100166946,0.9315068493150669,8,8,0
A Connecticut Yankee in King Arthur's Cour,Mark Twain,Unknown,fiction,Unknown,NOT_MATURE,637,0.0,0,2020-07-04,"One of the greatest satires in American literature, Mark Twain's 'A Connecticut Yankee in King Arthur's Court' begins when Hank Morgan, a skilled mechanic in a nineteenth-century New England arms factory, is struck on the head during a quarrel and awakens to find himself among the knights and magicians of King Arthur's Camelot. The 'Yankee' vows brashly to ""boss the whole country inside of three weeks"" and embarks on an ambitious plan to modernize Camelot with 19th c. industrial inventions like electricity and gunfire. It isn't long before all hell breaks loose! Written in 1889, Mark 'A Connecticut Yankee in King Arthur's Court' is one of literature's first genre mash-ups and one of the first works to feature time travel. It is one of the best known Twain stories, and also one of his most unique. Twain uses the work to launch a social commentary on contemporary society, a thinly veiled critique of the contemporary times despite the Old World setting. While the dark pessimism that would fully blossom in Twain's later works can be discerned in 'A Connecticut Yankee in King Arthur's Court, ' the novel will nevertheless be remembered primarily for its wild leaps of imagination, brilliant wit, and entertaining storytelling.",2020,0.25792988313856424,0.9315068493150669,8,8,0
The Thirty-Nine Steps,John Buchan,Courier Corporation,fiction,Fiction,NOT_MATURE,99,0.0,0,2012-03-01,"A young Scot stumbles upon a plot involving espionage, murder, and the future of Britain itself. This classic of suspense served as the basis for one of Hitchcock's most famous films.",2012,0.033388981636060105,0.821917808219176,4,4,3
The Age of Innocence,Edith Wharton,Unknown,fiction,Fiction,NOT_MATURE,312,0.0,0,2011-04-01,"As the scion of one of New York's leading families, Newland Archer was born into a life of sumptuous privilege and strict duty. Though sensitive and intelligent, Archer respects the rigid social code of his class and plans to marry ""one of his own kind,"" the striking May Welland. But the arrival of the free-spirited Countess Olenska, who breathes clouds of European sophistication, makes him question his formerly complacent life. As he falls ever more deeply in love with her, he discovers just how hard it is to escape the bounds of his society. Edith Wharton's Pulitzer Prize-winning novel is at once a poignant story of frustrated love and an extraordinarily vivid and satirical portrait of a vanished world. The world's greatest works of literature are now available in these beautiful keepsake volumes. Bound in real cloth, and featuring gilt edges and ribbon markers, these beautifully produced books are a wonderful way to build a handsome library of classic literature. These are the essential novels that belong in every home. They'll transport readers to imaginary worlds and provide excitement, entertainment, and enlightenment for years to come. All of these novels feature attractive illustrations and have an unequalled period feel that will grace the library, the bedside table or bureau.",2011,0.12228714524207013,0.8082191780821901,4,4,3
Thelma,Marie Corelli,BoD – Books on Demand,fiction,Fiction,NOT_MATURE,866,0.0,0,2025-12-09,Reproduction of the original. The Antigonos publishing house specialises in the publication of reprints of historical books. We make sure that these works are made available to the public in good condition in order to preserve their cultural heritage.,2025,0.3535058430717863,0.9999999999999964,4,4,3
